Time(s),Amplitude(mV)
0.565,-0.002855616
0.566,-0.001663949
0.567,-0.001554916
0.568,-0.000247102
0.569,0.000791977
0.57,0.002027199
0.571,0.003247902
0.572,0.005369614
0.573,0.007062601
0.574,0.008087158
0.575,0.009198832
0.576,0.010710192
0.577,0.012802863
0.578,0.014096166
0.579,0.015273309
0.58,0.01794729
0.581,0.018310547
0.582,0.020475818
0.583,0.020337751
0.584,0.022583008
0.585,0.023178838
0.586,0.025024414
0.587,0.025496699
0.588,0.027327754
0.589,0.027800039
0.59,0.029783682
0.591,0.031186017
0.592,0.032697374
0.593,0.034681017
0.594,0.036097875
0.595,0.037551143
0.596,0.038662826
0.597,0.039549309
0.598,0.040508405
0.599,0.041838128
0.6,0.043225942
0.601,0.044403076
0.602,0.045543808
0.603,0.047026117
0.604,0.048275868
0.605,0.049591064
0.606,0.051422119
0.607,0.052868031
0.608,0.054350337
0.609,0.056377553
0.61,0.05891345
0.611,0.060054189
0.612,0.061507445
0.613,0.062786248
0.614,0.064115964
0.615,0.065351193
0.616,0.066651857
0.617,0.066375732
0.618,0.06750195
0.619,0.068940675
0.62,0.070110472
0.621,0.071287597
0.622,0.071607299
0.623,0.073576416
0.624,0.073852539
0.625,0.074993288
0.626,0.076446533
0.627,0.076613648
0.628,0.078582764
0.629,0.078597291
0.63,0.079738043
0.631,0.080900637
0.632,0.08116223
0.633,0.080777105
0.634,0.081038698
0.635,0.081329346
0.636,0.081053226
0.637,0.081038698
0.638,0.081038698
0.639,0.081053227
0.64,0.08090064
0.641,0.08127123
0.642,0.079178586
0.643,0.07887341
0.644,0.07747106
0.645,0.076417474
0.646,0.074143185
0.647,0.073699951
0.648,0.071411133
0.649,0.070284897
0.65,0.067690902
0.651,0.066361202
0.652,0.064472025
0.653,0.062030618
0.654,0.059327628
0.655,0.055774513
0.656,0.053042462
0.657,0.05072458
0.658,0.047229589
0.659,0.043443954
0.66,0.040791833
0.661,0.03778367
0.662,0.035313199
0.663,0.031803676
0.664,0.02893357
0.665,0.024479456
0.666,0.021870928
0.667,0.016988115
0.668,0.012272422
0.669,0.009387784
0.67,0.004643026
0.671,0.001053582
0.672,-0.002528607
0.673,-0.007534941
0.674,-0.010281523
0.675,-0.014764708
0.676,-0.018245163
0.677,-0.022408639
0.678,-0.025816422
0.679,-0.02941315
0.68,-0.033046192
0.681,-0.036875425
0.682,-0.040661053
0.683,-0.044076127
0.684,-0.047941668
0.685,-0.051647383
0.686,-0.054364895
0.687,-0.05666825
0.688,-0.059095121
0.689,-0.061674579
0.69,-0.064007006
0.691,-0.066586465
0.692,-0.067792632
0.693,-0.069914327
0.694,-0.072188609
0.695,-0.073758098
0.696,-0.074949728
0.697,-0.077085959
0.698,-0.0787935
0.699,-0.079970592
0.7,-0.08212136
0.701,-0.082579124
0.702,-0.084548229
0.703,-0.084715355
0.704,-0.086241234
0.705,-0.087265735
0.706,-0.087679884
0.707,-0.087403784
0.708,-0.087418323
0.709,-0.087142224
0.71,-0.087156763
0.711,-0.087418322
0.712,-0.087708959
0.713,-0.087294813
0.714,-0.086139461
0.715,-0.084809788
0.716,-0.084700819
0.717,-0.084809787
0.718,-0.084715359
0.719,-0.084824327
0.72,-0.084824327
0.721,-0.082811603
0.722,-0.082259414
0.723,-0.08199786
0.724,-0.082259414
0.725,-0.081118594
0.726,-0.079818008
0.727,-0.079818008
0.728,-0.078982362
0.729,-0.077514648
0.73,-0.077638153
0.731,-0.075363876
0.732,-0.074811692
0.733,-0.074208508
0.734,-0.072355745
0.735,-0.071338421
0.736,-0.070343018
0.737,-0.06915856
0.738,-0.067749023
0.739,-0.06773448
0.74,-0.065489291
0.741,-0.065155029
0.742,-0.063033342
0.743,-0.06282258
0.744,-0.060395717
0.745,-0.060577393
0.746,-0.059131381
0.747,-0.058121442
0.748,-0.057663678
0.749,-0.055941578
0.75,-0.05578899
0.751,-0.052962543
0.752,-0.053238629
0.753,-0.051850793
0.754,-0.050797222
0.755,-0.050739041
0.756,-0.048370361
0.757,-0.048326725
0.758,-0.047200426
0.759,-0.045500283
0.76,-0.044620976
0.761,-0.043349507
0.762,-0.043305868
0.763,-0.041169638
0.764,-0.040879008
0.765,-0.040632019
0.766,-0.039709064
0.767,-0.038146973
0.768,-0.038103331
0.769,-0.038452148
0.77,-0.038590189
0.771,-0.038176068
0.772,-0.038176068
0.773,-0.038437601
0.774,-0.038299561
0.775,-0.038466697
0.776,-0.037216897
0.777,-0.035872703
0.778,-0.035981645
0.779,-0.035843606
0.78,-0.034993373
0.781,-0.03326416
0.782,-0.033402199
0.783,-0.033235061
0.784,-0.030989891
0.785,-0.03111338
0.786,-0.030960792
0.787,-0.029878127
0.788,-0.028824561
0.789,-0.028533936
0.79,-0.028395898
0.791,-0.027545656
0.792,-0.025925391
0.793,-0.025954492
0.794,-0.025983594
0.795,-0.025939941
0.796,-0.024123438
0.797,-0.023818262
0.798,-0.023636572
0.799,-0.023665675
0.8,-0.023651123
0.801,-0.023636571
0.802,-0.023665675
0.803,-0.022510247
0.804,-0.021238821
0.805,-0.021376857
0.806,-0.021180612
0.807,-0.019487592
0.808,-0.018935451
0.809,-0.019073486
0.81,-0.017641982
0.811,-0.016602973
0.812,-0.016450385
0.813,-0.016326904
0.814,-0.016036282
0.815,-0.015062539
0.816,-0.013885498
0.817,-0.013623985
0.818,-0.013979869
0.819,-0.013885498
0.82,-0.013900053
0.821,-0.013900053
0.822,-0.01376202
0.823,-0.013885498
0.824,-0.014161563
0.825,-0.013762021
0.826,-0.013856387
0.827,-0.014176118
0.828,-0.014008974
0.829,-0.014176118
0.83,-0.013762022
0.831,-0.013747466
0.832,-0.013870942
0.833,-0.014023529
0.834,-0.012577455
0.835,-0.011306061
0.836,-0.011458649
0.837,-0.011320618
0.838,-0.012679352
0.839,-0.01249765
0.84,-0.01159668
0.841,-0.01173471
0.842,-0.011306062
0.843,-0.011153474
0.844,-0.011553005
0.845,-0.011182591
0.846,-0.011429533
0.847,-0.011567563
0.848,-0.011400416
0.849,-0.012570442
0.85,-0.014023527
0.851,-0.014023527
0.852,-0.013762029
0.853,-0.014161555
0.854,-0.013776589
0.855,-0.013870938
0.856,-0.013609442
0.857,-0.01376203
0.858,-0.01373291
0.859,-0.013885498
0.86,-0.013747471
0.861,-0.013812695
0.862,-0.011582119
0.863,-0.01101545
0.864,-0.011444092
0.865,-0.011458653
0.866,-0.011414969
0.867,-0.011444092
0.868,-0.011320627
0.869,-0.011291504
0.87,-0.011444092
0.871,-0.009416763
0.872,-0.008879222
0.873,-0.008988123
0.874,-0.008988123
0.875,-0.00886466
0.876,-0.009293299
0.877,-0.009002686
0.878,-0.010267078
0.879,-0.01132063
0.88,-0.011291504
0.881,-0.011720141
0.882,-0.011320631
0.883,-0.01059377
0.884,-0.00914071
0.885,-0.008988122
0.886,-0.009126145
0.887,-0.008712074
0.888,-0.009155273
0.889,-0.008850098
0.89,-0.010281647
0.891,-0.011720138
0.892,-0.011473222
0.893,-0.011582115
0.894,-0.011168047
0.895,-0.011306069
0.896,-0.011567549
0.897,-0.011291504
0.898,-0.01170557
0.899,-0.01159668
0.9,-0.011582114
0.901,-0.011567547
0.902,-0.011458658
0.903,-0.01130607
0.904,-0.011429525
0.905,-0.011473225
0.906,-0.010303142
0.907,-0.008988118
0.908,-0.00926416
0.909,-0.009155273
0.91,-0.008879233
0.911,-0.009002686
0.912,-0.009293293
0.913,-0.009140705
0.914,-0.009155273
0.915,-0.011291504
0.916,-0.011400387
0.917,-0.011705562
0.918,-0.01159668
0.919,-0.011473229
0.92,-0.011444092
0.921,-0.01159668
0.922,-0.01159668
0.923,-0.011444092
0.924,-0.011458661
0.925,-0.011291504
0.926,-0.011429522
0.927,-0.010484854
0.928,-0.008864668
0.929,-0.009278721
0.93,-0.008864668
0.931,-0.009017256
0.932,-0.008850098
0.933,-0.00773827
0.934,-0.006423262
0.935,-0.006546708
0.936,-0.006423263
0.937,-0.00614723
0.938,-0.004243318
0.939,-0.004011
0.94,-0.004272461
0.941,-0.004090729
0.942,-0.003967285
0.943,-0.004076156
0.944,-0.004257888
0.945,-0.003981858
0.946,-0.00382927
0.947,-0.004228742
0.948,-0.004076154
0.949,-0.001816482
0.95,-0.001816481
0.951,-0.001663893
0.952,-0.001387865
0.953,-0.001649319
0.954,-0.001678467
0.955,-0.001417013
0.956,-0.001831055
0.957,-0.001540453
0.958,-0.002107082
0.959,-0.001969068
0.96,-0.001525879
0.961,-0.001663892
0.962,-0.001525879
0.963,-0.001525879
0.964,-0.001678467
0.965,-0.001402442
0.966,-0.001373291
0.967,0.000748364
0.968,-0.000348903
0.969,-0.001249855
0.97,-0.001649314
0.971,-0.001678467
0.972,-0.001831055
0.973,-0.001402444
0.974,-0.001816478
0.975,-0.001816478
0.976,-0.001678467
0.977,-0.00166389
0.978,-0.001525879
0.979,-0.001402446
0.98,-0.001678467
0.981,-0.001801899
0.982,-0.001540457
0.983,-0.001649311
0.984,-0.001845633
0.985,-0.001540457
0.986,-0.000690047
0.987,0.000610352
0.988,0.000900949
0.989,0.00062493
0.99,0.000777518
0.991,0.000777519
0.992,0.000624931
0.993,0.000777519
0.994,0.000595772
0.995,0.000777519
0.996,0.000900947
0.997,0.000748359
0.998,0.000930108
0.999,0.0007921
1,0.000900947
1.001,0.000915527
1.002,-0.00037808
1.003,-0.001663886
1.004,-0.001663886
1.005,-0.00154046
1.006,-0.001816473
1.007,-0.001816473
1.008,-0.000813456
1.009,0.000915527
1.01,0.000900945
1.011,0.000748357
1.012,0.000762939
1.013,0.000886363
1.014,0.000762939
1.015,0.001009785
1.016,0.000900945
1.017,0.000915527
1.018,0.000748356
1.019,0.000900944
1.02,0.000624935
1.021,0.000900944
1.022,0.000610352
1.023,0.000748356
1.024,0.000900943
1.025,0.000733771
1.026,0.000624936
1.027,0.000915527
1.028,0.000762939
1.029,0.000777524
1.03,0.000777524
1.031,0.000748355
1.032,0.000900942
1.033,0.001765978
1.034,0.003204346
1.035,0.003051758
1.036,0.003175174
1.037,0.003204346
1.038,0.002913756
1.039,0.003248104
1.04,0.005355162
1.041,0.005631166
1.042,0.005645752
1.043,0.005827513
1.044,0.007811156
1.045,0.008130919
1.046,0.008181398
1.047,0.006059754
1.048,0.00579834
1.049,0.005493164
1.05,0.005601989
1.051,0.003618346
1.052,0.003356934
1.053,0.00317517
1.054,0.001053527
1.055,0.00102435
1.056,0.000762939
1.057,0.001765999
1.058,0.002928348
1.059,0.003327756
1.06,0.003327755
1.061,0.003218935
1.062,0.003204346
1.063,0.002790351
1.064,0.003080937
1.065,0.003233525
1.066,0.00295753
1.067,0.003189756
1.068,0.003327753
1.069,0.003204346
1.07,0.003175165
1.071,0.003175164
1.072,0.003080939
1.073,0.00348034
1.074,0.00308094
1.075,0.003204346
1.076,0.002928353
1.077,0.003051758
1.078,0.003204346
1.079,0.003189754
1.08,0.00332775
1.081,0.003218938
1.082,0.005493164
1.083,0.005674937
1.084,0.005631159
1.085,0.004504673
1.086,0.003342341
1.087,0.003233532
1.088,0.003051758
1.089,0.003313154
1.09,0.00334234
1.091,0.003175159
1.092,0.003066351
1.093,0.00334234
1.094,0.003066352
1.095,0.003066352
1.096,0.002092448
1.097,0.000610352
1.098,0.000915527
1.099,0.000762939
1.1,0.000639541
1.101,0.000624947
1.102,0.000762939
1.103,0.000733749
1.104,0.000886337
1.105,0.00105352
1.106,0.000915527
1.107,0.000792131
1.108,0.000748343
1.109,0.001053519
1.11,0.00047236
1.111,0.000915527
