time,amplitude
792,-0.009155273
793,-0.006866455
794,-0.006561279
795,-0.001983643
796,0.000457764
797,0.003509521
798,0.00579834
799,0.005645752
800,0.007781982
801,-0.001068115
802,0.003356934
803,0.003204346
804,0.009460449
805,0.013275146
806,0.008544922
807,0.005493164
808,0.010681152
809,0.010681152
810,0.011901855
811,0.012969971
812,0.018157959
813,0.031280518
814,0.060272217
815,0.05645752
816,0.059051514
817,0.058135986
818,0.012054443
819,-0.011291504
820,-0.01159668
821,-0.004119873
822,-0.01159668
823,-0.020904541
824,-0.021057129
825,-0.016174316
826,-0.016174316
827,-0.011444092
828,-0.006408691
829,-0.009002686
830,-0.019989014
831,-0.081481934
832,-0.057067871
833,0.202331543
834,0.919189453
835,0.895080566
836,0.126342773
837,-0.377044678
838,-0.450744629
839,-0.306091309
840,-0.160827637
841,-0.104675293
842,-0.077514648
843,-0.057983398
844,-0.044403076
845,-0.03112793
846,-0.023498535
847,-0.018615723
848,-0.004882813
849,0.005493164
850,0.015258789
851,0.022735596
852,0.031585693
853,0.040893555
854,0.052947998
855,0.070343018
856,0.089569092
857,0.109100342
858,0.127410889
859,0.142211914
860,0.154571533
861,0.154876709
862,0.13168335
863,0.075073242
864,0.000152588
865,-0.070953369
866,-0.132293701
867,-0.167999268
868,-0.182647705
869,-0.180511475
870,-0.172729492
871,-0.161895752
872,-0.147247314
873,-0.129699707
874,-0.114440918
875,-0.102844238
876,-0.088500977
877,-0.077514648
878,-0.067596436
879,-0.062713623
880,-0.052947998
881,-0.043640137
882,-0.039367676
883,-0.033569336
884,-0.025939941
885,-0.023803711
886,-0.021362305
887,-0.018920898
888,-0.020751953
889,-0.018768311
890,-0.018615723
891,-0.018615723
892,-0.014038086
893,-0.013885498
894,-0.013885498
895,-0.005187988
896,-0.006408691
897,-0.004119873
898,-0.003967285
899,-0.001678467
900,-0.001373291
901,0.000762939
902,0.001068115
903,0.000762939
904,0.008239746
905,0.010681152
906,0.015563965
907,0.028839111
908,0.052032471
909,0.047149658
910,0.061798096
911,0.045776367
912,0.00579834
913,-0.016326904
914,-0.010986328
915,-0.011749268
916,-0.011444092
917,-0.011444092
918,-0.010986328
919,-0.011138916
920,-0.011444092
921,-0.011444092
922,-0.011138916
923,-0.011444092
924,-0.011444092
925,-0.011444092
926,-0.01159668
927,-0.102844238
928,0.511322021
929,0.617523193
930,-0.008239746
931,-0.507507324
932,-0.663299561
933,-0.546722412
934,-0.365447998
935,-0.267181396
936,-0.223083496
937,-0.186004639
938,-0.154571533
939,-0.148620605
940,-0.106964111
941,-0.101928711
942,-0.066375732
943,-0.063018799
944,-0.034332275
945,-0.033416748
946,-0.008850098
947,-0.009002686
948,-0.009002686
949,-0.009002686
950,-0.009002686
951,-0.009002686
952,-0.009155273
953,-0.009155273
954,-0.009002686
955,-0.009002686
956,-0.009002686
957,-0.009002686
958,-0.00869751
959,-0.009307861
960,-0.00869751
961,-0.009155273
962,-0.008850098
963,-0.008850098
964,-0.008850098
965,-0.008850098
966,0.046844482
967,0.283813477
968,0.29876709
969,0.280761719
970,0.261230469
971,0.241241455
972,0.220794678
973,0.199127197
974,0.179901123
975,0.164794922
976,0.147094727
977,0.130004883
978,0.112915039
979,0.098571777
980,0.086212158
981,0.077362061
982,0.067138672
983,0.059051514
984,0.048217773
985,0.039367676
986,0.035095215
987,0.030517578
988,0.02532959
989,0.022735596
990,0.023040771
991,0.020294189
992,0.017700195
993,0.012969971
994,0.009155273
995,0.008392334
996,0.00579834
997,0.003204346
998,0.003356934
